case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.87.1|10311041430|20150105|BDM-1-51460476,2015,20150105,2014-12-27,3.87.1,臺中市政府秘書處,10311041430,臺中市103年度各社區發展協會幹部工作服採購案,"<財物類>282成衣,毛皮服裝除外",公開招標,最低標,2856000,2050965,1,大嘉衣業有限公司,其他,臺中市－全區,103/12/31－104/03/07,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460476.xml,data/raw/taichung/2015/tenders/20150105_3.87.1_10311041430.json
3.87.1|10311120900|20150105|BDM-1-51460306,2015,20150105,2014-12-26,3.87.1,臺中市政府秘書處,10311120900,臺中市104年度失能老人交通接送服務計畫,<勞務類>71陸地運輸服務,限制性招標(經公開評選或公開徵求),準用最有利標,14754920,14754920,2,財團法人台灣省私立毓得社會福利基金會；上裕租賃股份有限公司,其他,臺中市－全區,104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460306.xml,data/raw/taichung/2015/tenders/20150105_3.87.1_10311120900.json
3.87.1|10311171300|20150105|BDM-1-51460975,2015,20150105,2014-12-31,3.87.1,臺中市政府秘書處,10311171300,臺中市社區保母系統暨弱勢家庭兒童臨時托育服務,<勞務類>93健康及社會服務,限制性招標(經公開評選或公開徵求),準用最有利標,110126890,54179940,2,財團法人彭婉如文教基金會；弘光科技大學,臺中市(非原住民地區),臺中市－全區,104/01/01－105/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460975.xml,data/raw/taichung/2015/tenders/20150105_3.87.1_10311171300.json
3.87.1|10311171408|20150105|BDM-1-51461091,2015,20150105,2014-12-29,3.87.1,臺中市政府秘書處,10311171408,臺中市公設民營托嬰中心,<勞務類>912針對整個社區之服務,限制性招標(經公開評選或公開徵求),準用最有利標,18087400,18087400,2,弘光科技大學；社團法人臺中市春天兒童教育發展協會,臺中市(非原住民地區),"臺中市－豐原區,臺中市－沙鹿區",104/01/01－105/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51461091.xml,data/raw/taichung/2015/tenders/20150105_3.87.1_10311171408.json
3.87.1|10311181130|20150105|BDM-1-51460435,2015,20150105,2014-12-26,3.87.1,臺中市政府秘書處,10311181130,臺中市新移民家庭服務中心實施計畫,<勞務類>93健康及社會服務,限制性招標(經公開評選或公開徵求),準用最有利標,19179400,19179400,4,財團法人天主教善牧社會福利基金會；臺中市山海屯國際生命線協會；財團法人台中市私立弘毓社會福利基金會；台中市基督教女青年會,臺中市(非原住民地區),臺中市－全區,104/01/01－105/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460435.xml,data/raw/taichung/2015/tenders/20150105_3.87.1_10311181130.json
3.87.1|10311211030|20150105|BDM-1-51460822,2015,20150105,2014-12-31,3.87.1,臺中市政府秘書處,10311211030,臺中市婦女福利服務中心,<勞務類>93健康及社會服務,限制性招標(經公開評選或公開徵求),準用最有利標,35937000,28380000,4,財團法人天主教聖母聖心修女會；財團法人天主教曉明社會福利基金會；財團法人瑪利亞社會福利基金會；社團法人台中市基督教女青年會,臺中市(非原住民地區),臺中市－全區,104/01/01－105/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460822.xml,data/raw/taichung/2015/tenders/20150105_3.87.1_10311211030.json
3.87.1|10311260900|20150105|BDM-1-51459727,2015,20150105,2014-12-30,3.87.1,臺中市政府秘書處,10311260900,臺中市身心障礙者營養餐食服務計畫,<勞務類>93健康及社會服務,限制性招標(經公開評選或公開徵求),準用最有利標,18941000,15432905,3,財團法人台中市私立甘霖社會福利慈善事業基金會；財團法人老五老基金會；財團法人臺中市私立慈心社會福利慈善事業基金會,臺中市(非原住民地區),臺中市－全區,104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459727.xml,data/raw/taichung/2015/tenders/20150105_3.87.1_10311260900.json
3.87.10|103B-088|20150105|BDM-1-51459649,2015,20150105,2014-12-29,3.87.10,臺中市政府建設局,103B-088,臺中市104年度區域型公園綠美化維護工作,<勞務類>865管理顧問服務,公開招標,最低標,22268377,10970000,4,欣欣環保工程股份有限公司；鴻展園藝有限公司；佳藝景觀有限公司；寶徠興企業有限公司,臺中市(非原住民地區),"臺中市－東區,臺中市－南區,臺中市－北區,臺中市－西屯區,臺中市－北屯區",104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459649.xml,data/raw/taichung/2015/tenders/20150105_3.87.10_103B-088.json
3.87.10|103B-115|20150105|BDM-1-51459891,2015,20150105,2014-12-29,3.87.10,臺中市政府建設局,103B-115,臺中市104年度鄰里公園綠美化維護工作-西屯區(臺灣大道以北),<勞務類>865管理顧問服務,公開招標,最低標,8521631,3160000,1,尚壕園藝有限公司,臺中市(非原住民地區),臺中市－西屯區,104/01/01－104/12/31,臺灣大道,標案名稱,,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459891.xml,data/raw/taichung/2015/tenders/20150105_3.87.10_103B-115.json
3.87.10|103B-117|20150105|BDM-1-51460212,2015,20150105,2014-12-31,3.87.10,臺中市政府建設局,103B-117,臺中市104年度鄰里公園綠美化維護工作-北屯區(北屯路以東),<勞務類>865管理顧問服務,公開招標,最低標,10692830,3956000,1,寶徠興企業有限公司,臺中市(非原住民地區),臺中市－北屯區,104/01/01－104/12/31,北屯路,標案名稱,,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460212.xml,data/raw/taichung/2015/tenders/20150105_3.87.10_103B-117.json
3.87.13.1|1031223|20150105|BDM-1-51459778,2015,20150105,2014-12-23,3.87.13.1,臺中市政府警察局保安警察大隊,1031223,104年度警用汽車保養維修採購案,"<財物類>491機動車,拖車,半拖車;車輛機件",公開招標,最低標,1853000,946000,3,詠益汽車保養廠；亦丰車業有限公司；千立汽車有限公司,臺中市(非原住民地區),臺中市－全區,104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459778.xml,data/raw/taichung/2015/tenders/20150105_3.87.13.1_1031223.json
3.87.13.29|1031223|20150105|BDM-1-51459564,2015,20150105,2014-12-23,3.87.13.29,臺中市政府警察局清水分局,1031223,臺中市政府警察局清水分局104年度警用汽車保養維修採購案,"<財物類>491機動車,拖車,半拖車;車輛機件",公開招標,最低標,1334500,990000,3,吉峰欣業有限公司；宏昇欣業汽車有限公司；正佳實業社,臺中市(非原住民地區),"臺中市－沙鹿區,臺中市－梧棲區,臺中市－清水區",104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459564.xml,data/raw/taichung/2015/tenders/20150105_3.87.13.29_1031223.json
3.87.13.29|1031223-1|20150105|BDM-1-51459566,2015,20150105,2014-12-23,3.87.13.29,臺中市政府警察局清水分局,1031223-1,臺中市政府警察局清水分局104年度警用普通重型機車保養維修採購案,"<財物類>491機動車,拖車,半拖車;車輛機件",公開取得報價單或企劃書,最低標,324700,292230,1,良發車業有限公司,臺中市(非原住民地區),"臺中市－沙鹿區,臺中市－梧棲區,臺中市－清水區",104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459566.xml,data/raw/taichung/2015/tenders/20150105_3.87.13.29_1031223-1.json
3.87.15|P0548|20150105|BDM-1-51460417,2015,20150105,2014-12-29,3.87.15,臺中市政府環境保護局,P0548,104年臺中市低碳社區推動計畫,<勞務類>866與管理顧問有關之服務,限制性招標(經公開評選或公開徵求),準用最有利標,14379000,13886000,1,環科工程顧問股份有限公司,臺中市(非原住民地區),臺中市－全區,104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460417.xml,data/raw/taichung/2015/tenders/20150105_3.87.15_P0548.json
3.87.15|P0575|20150105|BDM-1-51459837,2015,20150105,2014-12-30,3.87.15,臺中市政府環境保護局,P0575,臺中市政府環境保護局辦公大樓104年度保全警衛勤務案,<勞務類>873調查及保安服務,限制性招標(經公開評選或公開徵求),準用最有利標,3500000,3410000,1,路易威鐙保全股份有限公司,臺中市(非原住民地區),臺中市－全區,104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459837.xml,data/raw/taichung/2015/tenders/20150105_3.87.15_P0575.json
3.87.15|P0578|20150105|BDM-1-51459842,2015,20150105,2014-12-30,3.87.15,臺中市政府環境保護局,P0578,文山資源回收環保教育園區環境教育設施改善計畫設備採購及安裝工程,<工程類>5169其他安裝工程,公開招標,最低標,3974300,3670000,1,銀河系資訊有限公司,臺中市(非原住民地區),臺中市－全區,103/12/30－104/04/30,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459842.xml,data/raw/taichung/2015/tenders/20150105_3.87.15_P0578.json
